Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,BOONE,15,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,147.1,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,129,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,GRUNDY,75,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,161.5,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HAMILTON,79,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,138,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HARDIN,83,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,163.6,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,JASPER,99,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,150.9,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,MARSHALL,127,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,157.6,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POLK,153,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,149.1,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POWESHIEK,157,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,152.3,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,STORY,169,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,157.6,
